Staten Island,"<br>Source & Data: <a href=""http://www.census.gov/"">U.S. Census Bureau</a>",Bronx,Manhattan,Queens,Brooklyn
7.429245283,1790,3.537735849,66.98113208,12.26415094,9.787735849
5.306603774,1800,1.591981132,77.18160377,8.254716981,7.66509434
4.127358491,1810,1.179245283,80.89622641,6.603773585,7.193396226
3.655660377,1820,1.238207547,81.78066038,5.660377358,7.66509434
2.712264151,1830,1.179245283,83.49056604,3.537735849,9.080188679
2.240566038,1840,1.41509434,79.95283019,4.009433962,12.38207547
1.248034591,1850,1.935927673,73.82075472,2.425876011,20.56940701
1.238207547,1860,2.299528302,69.45754717,2.830188679,24.1745283
1.252948113,1870,3.346108491,63.67924528,3.066037736,28.65566038
1.238207547,1880,3.360849057,60.61320755,3.066037736,31.72169811
1.238207547,1890,4.068396226,57.31132076,3.537735849,33.84433962
1.061320755,1900,6.367924528,53.81289308,4.441823899,34.31603774
1.061320755,1910,9.433962264,49.05660377,5.660377358,34.78773585
1.238207547,1920,13.26650943,40.60534592,8.451257862,36.43867925
1.248034591,1930,18.91705975,26.65094339,15.80188679,37.38207547
1.238207547,1940,19.39858491,25.27515723,17.64937107,36.43867925
1.252948113,1950,19.38384434,24.52830189,20.51886792,34.31603774
2.240566038,1960,18.39622642,21.93396226,24.05660377,33.37264151
3.655660377,1970,18.39622642,19.57547169,25,33.37264151
4.599056604,1980,16.50943396,20.04716981,26.6509434,32.19339623
4.83490566,1990,16.27358491,20.51886792,26.6509434,31.72169811
5.306603774,2000,16.74528302,19.10377358,27.59433962,31.25
5.306603774,2010,16.98113208,19.33962264,27.12264151,31.25
